created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 20 23:59:50 +0000 2023;1715518217446420971;"Buka Suara, Presiden RI Jokowi Mengecam Keras Tindakan Zionis Israel terhadap Warga Sipil Palestina   https://t.co/71f6KlZ9kF   #Palestina #Gaza #FreePalestine #Indonesia #Presiden #Jokowi #Israel #IsraelTerorrist #Zionist #PalestinianGenocide #Zionis";0;0;0;1;in;1695702905268178944;1715518217446420971;summerrain_d;https://twitter.com/summerrain_d/status/1715518217446420971
Fri Oct 20 23:59:40 +0000 2023;1715518176870744332;"Kini Palestina memanggil berikanlah Mereka kekuatan terbaik kekuatan terbaik hadirkan kedamaian untuk dunia  #SavePalestina #FreedomForPalestina #KemerdekaanUntukPalestina #SelamatkanPalestina";0;0;0;1;in;779355956069085184;1715518176870744332;riatul_HN;https://twitter.com/riatul_HN/status/1715518176870744332
Fri Oct 20 23:59:18 +0000 2023;1715518081408151615;"kalau perang Palestina mereka manfaat cari uang. Teriak bantu palestina Suruh pribumi jihad Yang nyuruh takut jihad Minta ke pribumi Donasi kepalestina Donasinya masuk kantong sendiri. Negaranya di bom diem diem Bae https://t.co/nkfhNIORhK";0;0;0;0;in;1300513006455910400;1715518081408151615;Rani34079287;https://twitter.com/Rani34079287/status/1715518081408151615
Fri Oct 20 23:59:17 +0000 2023;1715518079885807813;"@Marie18909292 @DeHoutman_id Lu samperin aj kesana Paul untuk double Check bener apa kaga berita dibomnya gereja di Palestina oleh zionist.  https://t.co/bIzI7SkHGG";0;2;0;0;in;50633077;1715325471670653407;muthijairoi;https://twitter.com/muthijairoi/status/1715518079885807813
Fri Oct 20 23:59:02 +0000 2023;1715518014467268645;"@Hilmi28 Hamas tidak mewakili rakyat palestina kata presiden palestina.....";0;0;0;0;in;1658871216852303876;1715365067867504759;tjahjadoel90;https://twitter.com/tjahjadoel90/status/1715518014467268645
Fri Oct 20 23:58:47 +0000 2023;1715517951397548464;"Belajar sejarah dahulu buzzer,sebelum mendukung Zionist mu.Di Palestina jauh sebelum kedatangan Zionist mu di bawah ke khalifahan Salahuddin Ayyaubi,hidup damai berdampingan,Islam,Nasrani,dan Yahudi.Kedatangan Zionist yang mengaku Yahudi,meminta perlindungan dan di berikan. https://t.co/qlyP9gjIoU";0;3;1;1;in;1588842390324137984;1715517951397548464;nenglaela93;https://twitter.com/nenglaela93/status/1715517951397548464
Fri Oct 20 23:58:36 +0000 2023;1715517906300313947;"@OmJ_JeNggot drun Hamas itu sayap militer Palestina yang menguasai Gaza seperti Isis";0;0;1;1;in;947189374738771968;1715169100455157802;Amox1L1N;https://twitter.com/Amox1L1N/status/1715517906300313947
Fri Oct 20 23:58:24 +0000 2023;1715517858313277909;"🇵🇸 Seorang pemuda menantang pemerintah Inggris dan menyalakan landmark Big Ben yang terkenal di London dengan bendera Palestina. 🇵🇸🇵🇸🇵🇸  #GazaHospitalBombing  #FreePalestine ❤🇵🇸 https://t.co/FWgcBooShN";2;0;93;177;in;1221303175518420998;1715517858313277909;IFyou_611;https://twitter.com/IFyou_611/status/1715517858313277909
Fri Oct 20 23:58:18 +0000 2023;1715517833311039616;"Terima kasih Mohammad Rizky Eka Pratama dan suporter PSM yang terus mendukung Palestina dalam laga PSM vs Arema semalam.  Moga PSSI tidak kelilipan dgn memberi teguran atau sangsi. #FreePalestine https://t.co/U66wJEyrKG";0;0;0;4;in;187997845;1715517833311039616;asgharsaleh;https://twitter.com/asgharsaleh/status/1715517833311039616
Fri Oct 20 23:57:48 +0000 2023;1715517707200942084;"@uniemara @islah_bahrawi @stingErz23 @Bunga_JyKesuma Warga Palestina tinggal di indonesia...";0;1;0;0;in;1296312516901916672;1715262101646917910;Bambangmulyonoo;https://twitter.com/Bambangmulyonoo/status/1715517707200942084
Fri Oct 20 23:57:41 +0000 2023;1715517678293799105;"@zidnsptra @memelord_666666 mantap bro saya dukung anda berangkat ke palestina gabung hamas, mereka katanya lagi kekurangan suicide squad";0;1;0;0;in;1686994252050714625;1715365546517229976;24thchunma;https://twitter.com/24thchunma/status/1715517678293799105
Fri Oct 20 23:57:30 +0000 2023;1715517632219369513;"@Hilmi28 ini namanya penjajahan ya ustad. israel menjajah palestina seperti halnya belanda/jepang menjajah Indonesia. harusnya penjajah yg diusir secara paksa.";0;0;0;0;in;1254895166122418177;1715365067867504759;nomerorae;https://twitter.com/nomerorae/status/1715517632219369513
Fri Oct 20 23:56:14 +0000 2023;1715517313162895398;"@dina_sulaeman salahkan Hamas yang membawa penderitaan bagi penduduk Palestina yang tinggal di Gaza. selama ini Israel suplai kebutuhan 1.1 jt penduduk yang tinggal di Gaza.";0;1;0;0;in;947189374738771968;1715393096052351107;Amox1L1N;https://twitter.com/Amox1L1N/status/1715517313162895398
Fri Oct 20 23:55:18 +0000 2023;1715517075043856791;"Mohamed Salah Lantang Ajak Pemimpin Dunia Bantu Palestina. Pembantaian harus dihentikan. Banyak keluarga yang terpisah. Hal terjelas yang harus dilakukan sekarang adalah bantuan kemanusiaan ke Gaza harus diizinkan segera," ujarnya.  Salah mengatakan, situasi di Gaza semakin… https://t.co/hnyqFoHw1I";0;0;6;10;in;3797534720;1715517075043856791;C4kDeep_;https://twitter.com/C4kDeep_/status/1715517075043856791
Fri Oct 20 23:55:14 +0000 2023;1715517061521416288;"Kl negeri2 kaum muslimin terlalu takut utk mengirimkan pasukan membela Palestina, cukup serukan agar semua negara Muslim memboikot mata uang dollar dlm transaksi perdagangan internasional &amp  menutup semua keran ekspor minyak, gas &amp  brg tambang ke USA agar perekonomian mrk macet";0;2;1;0;in;1256056788589268993;1715505849110819261;PatrickGuchiano;https://twitter.com/PatrickGuchiano/status/1715517061521416288
Fri Oct 20 23:55:13 +0000 2023;1715517054009442539;"Sikap harus jelas, PENJAJAH HARUS DI HAPUS DARI MUKA BUMI, LENYAPKAN ISRAEL REBUT KEMBALI TANAH PALESTINA YANG DI DUDUKI ISRAEL";0;0;0;0;in;1208772224007585795;1715517054009442539;dasamocca;https://twitter.com/dasamocca/status/1715517054009442539
Fri Oct 20 23:54:58 +0000 2023;1715516993607225473;"@WhizhList @FaktaSepakbola Nah iya, gua juga lihat kounde dukung palestina pihak laliga nggak ada Yang koar-koar";0;0;0;0;in;1482150143629561856;1715492662822977621;Goodire24;https://twitter.com/Goodire24/status/1715516993607225473
Fri Oct 20 23:54:17 +0000 2023;1715516820877426869;"Bantuin doa untuk palestina supaya dimudahkan Allah untuk meraih kemenangannyo 😭  Anak2 dn org2 yg meninggal semoga Allah syahid kan kalian dan Allah tempatkan di tempat yg paling baik, aamiin. 😭😭😭";0;0;0;0;in;237243980;1715515401097159053;heybils_;https://twitter.com/heybils_/status/1715516820877426869
Fri Oct 20 23:54:06 +0000 2023;1715516776333955090;"salahkan Hamas, kalau Mereka tidak membunuh 1400 warga sipil Ngga ada kesengsaraan rakyat Palestina yang tinggal di Gaza sekarang , 1.1 jt penduduk disuplai israel";0;0;0;0;in;947189374738771968;1715516776333955090;Amox1L1N;https://twitter.com/Amox1L1N/status/1715516776333955090
Fri Oct 20 23:54:02 +0000 2023;1715516759795777549;"Warga palestina jadi korban kebiadaban kelompok HAMAS. setelah menyerang membunuh byk warga sipil israel, kemudian kelompok Hamas berlindung dan brsembunyi ditengah2 warga sipil palestina ketika israel membalas serangan.";0;0;0;0;in;1560791717577519104;1715516759795777549;lionelwel101817;https://twitter.com/lionelwel101817/status/1715516759795777549
Fri Oct 20 23:53:49 +0000 2023;1715516704653205534;"@GosongImam @GeiszChalifah Palestina memang harus diutamakan. 😝 https://t.co/Bg6dlFe327";0;1;0;0;in;1589191021799227392;1714771163367575806;Prasety28254180;https://twitter.com/Prasety28254180/status/1715516704653205534
Fri Oct 20 23:53:48 +0000 2023;1715516698365997253;"@Hilmi28 He..he..iya,yg dimaksud mereka yg berhijrah itu adalah para pengungsi ibu2 dan Anak2 yg butuh tempat pelindungan, klw para pemuda2 Palestina mereka msih bertahan memperjuangkan kemerdekaan Palestina,dan menjaga mesjid Alaqsa,he..he";0;0;0;2;in;1494762101474459648;1715365067867504759;Sofian42143091;https://twitter.com/Sofian42143091/status/1715516698365997253
Fri Oct 20 23:53:39 +0000 2023;1715516659468062784;"Masya Allah Abod urat takutnya sudah hilang, pemuda Palestina ngonten di tempat terbuka diantara desingan pesawat tempur Israel.";0;0;0;0;in;1105053793295560704;1715516659468062784;AhyaSaiful;https://twitter.com/AhyaSaiful/status/1715516659468062784
Fri Oct 20 23:52:49 +0000 2023;1715516453116645607;"@pettasewa1 @muchlis_ar HAMAS BUKAN BAGIAN DARI RAKYAT PALESTINA https://t.co/WkEr8040QK";0;0;0;0;in;1658137286029221888;1715164440054927768;PoliticIsBS;https://twitter.com/PoliticIsBS/status/1715516453116645607
Fri Oct 20 23:52:04 +0000 2023;1715516262821048397;"haii ada yang bisa jelasin ga awal mula Israel dan Palestina itu bisa war segitunya karena apa ?";0;0;0;0;in;1638502840917458944;1715516262821048397;sendalkufipper;https://twitter.com/sendalkufipper/status/1715516262821048397
Fri Oct 20 23:51:45 +0000 2023;1715516181476737032;"@QudsNen Itulah pejuang sejati ✊ semoga para tahanan Palestina juga bisa di bebaskan 🤲";0;0;0;0;in;1660942306214809603;1715505109956755626;fanyirawan86;https://twitter.com/fanyirawan86/status/1715516181476737032
Fri Oct 20 23:51:35 +0000 2023;1715516143132447158;"Maen sosmed tidak banyak mencaritau soal 1. Palestina - karena ga tega genosida 2. Kesurupan kasus pembunuhan - karena serem 3. Politik/pilpres - karena semua abu abu  Gue jarang piknik jd hiburan simpelnya maen sosmed. Ga perlu dibikin pusing lah.";0;1;0;0;in;1694733008706981888;1715516143132447158;omadbose;https://twitter.com/omadbose/status/1715516143132447158
Fri Oct 20 23:51:35 +0000 2023;1715516140561260586;"Karna is(anu) tu menebarkan kebohongan ke org2 sebelah sano biak dio menang 😭 Tapi aku yakin Allah pasti bantu meskipun mungkin butuh waktu karna Allah lah yg tau kapan waktu terbaik untuk mengangkat derajat palestina 🥹 tp tepotek nian hati aku ningok anak2 kecik tu yaAllah 😭";0;1;0;0;in;237243980;1715515401097159053;heybils_;https://twitter.com/heybils_/status/1715516140561260586
Fri Oct 20 23:51:17 +0000 2023;1715516064933794113;"@Bambangmulyonoo @HusinArmando Itu persis seperti berita yg dikeluarkan Hamas. Katanya besok akan ada pertempuran sengit dari Israel ke Palestina. Makanya hari ini Hamas harus gempur duluan Israel. Ono2 bae. Kalau Nipu bilang Nipu. Persis deh modelnya koyo SS.";0;0;0;1;in;1190901133079744512;1714975144513564753;Gemini46068735;https://twitter.com/Gemini46068735/status/1715516064933794113
Fri Oct 20 23:50:48 +0000 2023;1715515945614266580;"@Arya_Sena1973 @KepesengX0_ Ho oh ,,   dan dari mereka masih saling bertikai ,, itu knp palestina sulit merdeka,,  di gaza saja tdk hanya hamas , ada PIJ(jihad islam) has nya warna hitam ikat kepala jg hitam, ada pula brigade al qud , sebagian kecil simpatisan pflp,dflp dll jg berdomisili di gaza";0;0;0;2;in;1607379345919868928;1715494038512787525;TerahirPejuang;https://twitter.com/TerahirPejuang/status/1715515945614266580
Fri Oct 20 23:50:45 +0000 2023;1715515929629725183;"@DeHoutman_id anjing zionist lagi nyari uang dari darah dan daging anak2 palestina...gk puas loe ya tangan kanan dajal?tolol jangan diumbar dimari jing!!!!";0;0;0;0;in;1364231544588562432;1715355877681864924;zha_benk2;https://twitter.com/zha_benk2/status/1715515929629725183
Fri Oct 20 23:50:29 +0000 2023;1715515865377243493;"Beli buatan dalam negeri aja utk support ekonomi nasional. Siapa tahu pengusaha nasional akan sumbang ke Palestina.";0;0;0;1;in;410416517;1715515865377243493;Soekarnoist;https://twitter.com/Soekarnoist/status/1715515865377243493
Fri Oct 20 23:50:05 +0000 2023;1715515763140985276;"@AhmadUl06581878 @SammiSoh @JSuryoP1 Ya gara2 nerima pengungsi palestina kan? Perang saudara dj lebanon kan awalnya itu.";0;1;0;0;in;1667385810986106881;1715396353168154990;MrFahrenheit30;https://twitter.com/MrFahrenheit30/status/1715515763140985276
Fri Oct 20 23:50:00 +0000 2023;1715515741607174599;"Palestina sebenarnya sudah dideklarasikan sebagai negara berdaulat pada 15 November 1988 https://t.co/Bs9ijK8oBD";0;0;1;1;in;231355136;1715515741607174599;SINDOnews;https://twitter.com/SINDOnews/status/1715515741607174599
Fri Oct 20 23:49:45 +0000 2023;1715515681733787891;"@Tita83079013 @JSuryoP1 Kaum Rahayu ngapain ngurus palestina..?  Kebakaran jembut ya";0;0;0;0;in;1552912946569019392;1715208730554638713;AhmadUl06581878;https://twitter.com/AhmadUl06581878/status/1715515681733787891
Fri Oct 20 23:49:21 +0000 2023;1715515580462379355;"@tanyakanrl Emang bukan agama lur, orang Yahudi juga banyak yg kecam Israel. Murni politik. Lebih tepatnya penjajahan Israel ke Palestina.";0;0;0;0;in;427973483;1715347131085832564;imamsarodjo;https://twitter.com/imamsarodjo/status/1715515580462379355
Fri Oct 20 23:49:11 +0000 2023;1715515537080688887;"nyoba search "PKS PALESTINA" blass nggak ada demo. padahal 2 tahun lalu kayaknya demo besar ke kedubes yuese.. apa karena melu Anies?";0;1;0;0;in;15851752;1715515083353432086;eddo_0;https://twitter.com/eddo_0/status/1715515537080688887
Fri Oct 20 23:48:49 +0000 2023;1715515444487188948;"@Hilmi28 KAMI BUKAN WAHABI, dan kami MENDUKUNG PALESTINA";0;0;0;0;in;1030774135863959552;1715365067867504759;LArsitek87;https://twitter.com/LArsitek87/status/1715515444487188948
Fri Oct 20 23:48:46 +0000 2023;1715515431044383124;"Aneh kali pemain bola yg dukung Palestina di banned gaboleh main, kena denda";0;1;0;0;in;321135880;1715515431044383124;aditiarazak;https://twitter.com/aditiarazak/status/1715515431044383124
Fri Oct 20 23:48:42 +0000 2023;1715515415659778246;"Presiden Jokowi Tegaskan Komitmen Indonesia Dukung Terus Perjuangan Kemerdekaan Palestina  Presiden Jokowi menegaskan komitmen Indonesia untuk terus mendukung perjuangan Palestina dalam meraih kemerdekaan.  Jokowi Ahok Gelora Dyandra Doona Penjilat https://t.co/wD6dZ3N65p";1;2;16;14;in;1290494259791933443;1715515415659778246;rasa2086;https://twitter.com/rasa2086/status/1715515415659778246
Fri Oct 20 23:48:39 +0000 2023;1715515401097159053;"YaAllah, raso2 damau aku buka ig story org karna takut nian isinyo org2 yang keno bom di palestina 😭 tapi seharusnyo kt ikut share untuk melawan kejinyo is(anu) 😭😭😭😭😭";0;1;0;0;in;237243980;1715515401097159053;heybils_;https://twitter.com/heybils_/status/1715515401097159053
Fri Oct 20 23:48:37 +0000 2023;1715515393211596838;"Yang Telah Terjadi di GAZA adalah GENOSIDA Generasi PALESTINA.   Dan Politik Zionis ISRAEL👉👉👉👉  Apartheid.";0;0;0;1;in;1461824941305647105;1715515393211596838;Mulyawans07gma2;https://twitter.com/Mulyawans07gma2/status/1715515393211596838
Fri Oct 20 23:48:10 +0000 2023;1715515279873393027;"@bayuobaja @Ezharhap @judahrenz @muchlis_ar Pokoknya Islam first, kemanusiaan nomor belakang. Yg melihat konflik Israel Palestina secara objektif di+62 pasti dituduh Yahudi zionis pesek.  Ngapain baca kalo tuntutannya cukup pintar hapalan buku panduan";0;0;0;0;in;1271046442262556674;1714783506545729636;junimendo;https://twitter.com/junimendo/status/1715515279873393027
Fri Oct 20 23:48:00 +0000 2023;1715515237737316845;"@HoyPalestina Negara kaya raya tp tdk bisa menolong palestina";0;0;0;0;in;1353730345141735435;1715344677157667164;HDaun99;https://twitter.com/HDaun99/status/1715515237737316845
Fri Oct 20 23:47:58 +0000 2023;1715515230074319089;"@SammiSoh @JSuryoP1 Bodohnya kamu  Kamp sabara-satilla kan tempat pengungsian Palestina  Lebanon ko Kristen..? Tanpa hizbullah Lebanon ibarat orgil yang tak bisa berdiri.";0;3;0;1;in;1552912946569019392;1715396353168154990;AhmadUl06581878;https://twitter.com/AhmadUl06581878/status/1715515230074319089
Fri Oct 20 23:47:38 +0000 2023;1715515148751028274;"palestina adalah saudara kita";0;0;0;1;in;2926229593;1715515148751028274;FansRasulullah;https://twitter.com/FansRasulullah/status/1715515148751028274
Fri Oct 20 23:47:10 +0000 2023;1715515029351743687;"Investasi Jangka Sampai Menimbulkan INVASI... Populasi..   Jangan Ciptakan PALESTINA ke 2 di Tanah Ibu Pertiwi.";0;0;0;1;in;1461824941305647105;1715515029351743687;Mulyawans07gma2;https://twitter.com/Mulyawans07gma2/status/1715515029351743687
Fri Oct 20 23:47:05 +0000 2023;1715515010611593427;"sakit kepala, mata bengkak grgr semalam nangis2 grgr liat video2 palestina dan chat sm ibuku wkwk tp pagi ini hrus ttp msuk kerja dan layani costumer dgn senyuman🙂🙂🙂";0;0;0;0;in;233956147;1715515010611593427;dindayuli_;https://twitter.com/dindayuli_/status/1715515010611593427
Fri Oct 20 23:46:29 +0000 2023;1715514857435648295;"@yo2thok Alhamdulliah..Kenapa begitu takutnya penguasa2 Arab ini sama Israel(USA)..karena sdh kena penyakit cinta dunia .. Padahal kematian adalah sesuatu yang pasti,dan berpulang yg terbaik adalah Syahid..Tanah Palestina adalah ladang Syahid ..InshaAllah kita diberi juga kesempatan.";0;0;0;1;in;1499372999673200640;1715240239336415656;IwanLbs3;https://twitter.com/IwanLbs3/status/1715514857435648295
Fri Oct 20 23:46:25 +0000 2023;1715514841501401121;"@dina_sulaeman Gaza itu diambil Israel dari Mesir, tapi disebut Israel menjajal Palestina di Gaza.  Kenapa Mesir g pernah disebut menjajah Gaza?";0;0;0;0;in;152938524;1715318010607784042;fatur_wae;https://twitter.com/fatur_wae/status/1715514841501401121
Fri Oct 20 23:46:24 +0000 2023;1715514835985895637;"Sehingga Palestina kembali mulia dan kuat seperti dahulu sebagai Dar Islam yang diberkahi di sisi Allah, Rasul-Nya, dan kaum Mukmin. #7";0;0;0;1;in;42180240;1715514835985895637;abufauzan1924;https://twitter.com/abufauzan1924/status/1715514835985895637
Fri Oct 20 23:46:17 +0000 2023;1715514808798499274;"Terimakasih sumbangin aja buat rakyat palestina.";1;20;2;48;in;1537766676670074880;1715514808798499274;Tita83079013;https://twitter.com/Tita83079013/status/1715514808798499274
Fri Oct 20 23:46:05 +0000 2023;1715514758009635305;"@Hilmi28 Udah ditawari  two state Solution buat perdamaian  malah menolak. Jadinya rakyat Palestina jadi korban.";0;0;0;0;in;1135262710583611398;1715365067867504759;RepublikUtopia;https://twitter.com/RepublikUtopia/status/1715514758009635305
Fri Oct 20 23:46:02 +0000 2023;1715514743077921258;"@swikaa_0 yaAllah....sabar ya nak klgmu sdh syahid mrk sdh bahagia dsana, tugasmu sekarang bnyk berdoa dn meneruskan perjuangan utk membebaskan negerimu dr penjajah zionist laknatulloh, kami berdoa smoga palestina merdeka♥️";0;0;0;2;in;1609083551886241798;1715504172215554051;bangwand22;https://twitter.com/bangwand22/status/1715514743077921258
Fri Oct 20 23:45:28 +0000 2023;1715514600429634023;"Ini Kronologi Awal Konflik Panjang Israel-Palestina https://t.co/haOUktRHOY";0;0;0;1;in;847372542830444544;1715514600429634023;cnbcindonesia;https://twitter.com/cnbcindonesia/status/1715514600429634023
Fri Oct 20 23:45:14 +0000 2023;1715514543106142611;"Mereka membutuhkan Abdul Hamid dengan ucapannya yang masyhur bahwa Palestina tidak diperjualbelikan, melainkan adalah milik kaum Muslim, tidak ada kekuasaan untuk Yahudi di sana. #5";0;0;0;2;in;42180240;1715514543106142611;abufauzan1924;https://twitter.com/abufauzan1924/status/1715514543106142611
Fri Oct 20 23:44:03 +0000 2023;1715514245834797248;"Mudah menemukan haq&amp batil di Palestina Yg dinista jelas saudara seaqidah kita Haram hukumnya kita mendiamkannya Apalagi cenderung membela penjajah nista Pilihan kita menentukan surga atau neraka Karena seseorang bersama yg dicintainya #ArmiesToAqsa #NasehatDariGunung https://t.co/BgNNw3kEyN";0;0;0;0;in;1637348085558030339;1715514245834797248;ar_setiawannn;https://twitter.com/ar_setiawannn/status/1715514245834797248
Fri Oct 20 23:43:04 +0000 2023;1715513999893393754;"Meningkatnya Eskalasi Konflik Israel-Palestina Bikin Harga Emas Melambung https://t.co/dnKiV4zoFR";0;0;0;0;in;118646322;1715513999893393754;Bisniscom;https://twitter.com/Bisniscom/status/1715513999893393754
Fri Oct 20 23:42:30 +0000 2023;1715513856829886518;"Ilahana ya Robbana selamatkan seluruh anak-anak, ibu, dan pejuang Palestina... dan binasakanlah segera siapapun yang menzaliminya, aamiin ya Rabbal alamiin 🤲";0;0;0;0;in;1318158485154975753;1715513856829886518;aangjigo;https://twitter.com/aangjigo/status/1715513856829886518
Fri Oct 20 23:42:11 +0000 2023;1715513777524036061;"@jokowi Masyarakat palestina yg baik tdk pernah mau berperang,  sy 10 Hari, di Bethlehem bertanya ke pd mrk, ribuan org tiap hari dgn bus2 bsr, pergi bekerja ke Israel, air,  listrik dr Israel, Israel tdk memenjarakan org Palestinian Merdeka bebas melakukan apapun";0;2;0;1;in;3257576114;1714949968119976036;WITNERY;https://twitter.com/WITNERY/status/1715513777524036061
Fri Oct 20 23:42:08 +0000 2023;1715513764639064068;"@KepesengX0_ @Arya_Sena1973 Udah lama org kiri ada di palestina, baik yg marxis,lenininisme atau maoisme hingga sosialisme ,, yg DFLP masih besaran PFLP dr segi anggota maupun jumlah milisi ,, tulisan di kepala hingga warna beda2... Sesuai dgn kelompoknya ,, jd palestina itu ga hanya fatah dan hamas https://t.co/g71iuE3LOl";0;1;0;1;in;1607379345919868928;1715494038512787525;TerahirPejuang;https://twitter.com/TerahirPejuang/status/1715513764639064068
Fri Oct 20 23:41:38 +0000 2023;1715513636394062085;"🇵🇸 Seorang bayi Palestina yang kesulitan bernafas akibat debu yang terhirup saat rumahnya hancur akibat pengeboman Zionist Yahudi.💔  Hasbunallaahu wa ni'mal wakiil Semoga segera sembuh ya sayang ... aamiin Allaahumma aamiin. 🤲  #GazaUnderAttack  #FreePalestine ❤🇵🇸 https://t.co/vnoxr2f1Dl";5;17;382;469;in;1221303175518420998;1715513636394062085;IFyou_611;https://twitter.com/IFyou_611/status/1715513636394062085
Fri Oct 20 23:41:29 +0000 2023;1715513597621940649;"Mayoritas penduduk dunia mendukung Palestina, masihkah kita berpikir keinginan rakyat adalah keinginan  penguasa? ";0;1;4;16;in;1369533748417495049;1715513597621940649;taharudddin;https://twitter.com/taharudddin/status/1715513597621940649
Fri Oct 20 23:41:16 +0000 2023;1715513546677833946;"RS Al-Quds di Gaza mau diserang zionis israhell, penguasa bangsa Arab apa yg kalian pikirkan shg diam membiarkan umat islam di Palestina dibantai zionis israhell #israilterrorist  #SavePalestine  #WeStandWithPalestine";0;0;0;0;in;786818570814562304;1715513546677833946;suwito_abdullah;https://twitter.com/suwito_abdullah/status/1715513546677833946
Fri Oct 20 23:40:59 +0000 2023;1715513473487307092;"Di bawah udaraksa yang luas. Terdengar rintihan qalbu yang terluka. Bumi Palestina menyaksikan perjuangan. Dan merindukan kedamaian. Luka dan kehilangan mereka telah menjalani. Tapi semangat Palestina tak pernah luntur.  -Kutipan siyoi- #Poem  #Puisi  #Syair  #Sajak  #Poetry";0;0;0;0;in;1351337199027982336;1715513473487307092;MsaSiyoi;https://twitter.com/MsaSiyoi/status/1715513473487307092
Fri Oct 20 23:40:28 +0000 2023;1715513342855639164;"Pejabat Senior Kemlu AS Mundur, Tak Tahan Kebijakan Tak Manusiawi Biden soal Palestina https://t.co/c0OSwIX3NW";0;0;7;12;in;1229518084773277698;1715513342855639164;MediaKomando;https://twitter.com/MediaKomando/status/1715513342855639164
Fri Oct 20 23:40:26 +0000 2023;1715513336450912609;"Zionist israHell panik !! Takut dgn kebenaran yg makin terungkap secara luas. Serangan brutal zionist ke rakyat Palestina, membuka mata dunia.  Memang sih, masih ada yang tertutup matanya, ditutup dengan uang dan dg kebodohannya sendiri !!  🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸 https://t.co/nJ0a7m3E54";0;2;9;16;in;1516242059023482883;1715513336450912609;__R3mind_M3_;https://twitter.com/__R3mind_M3_/status/1715513336450912609
Fri Oct 20 23:40:24 +0000 2023;1715513324979581344;"Lagi-lagi jersey Ronaldo...  Ronaldo klo liat kompilasi video/gambar anak palestina pake jersey dia trs isinya penuh duka gini gmn ya...";0;1;0;1;in;28536360;1715513324979581344;indsane;https://twitter.com/indsane/status/1715513324979581344
