created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 13 23:24:33 +0000 2023;1712972623406387237;"@SeriDianawati Lha tp mmg.dl bangsa Palestina mmg memilih jalan konfrontasi dg israel. Pemerintahan yg mempertahankan jalur diplomasi/damai(Yaser Arafat) mlh ga disukai dan digulingkan";0;3;1;5;in;112049860;1712971965823320454;syahirularif;https://twitter.com/syahirularif/status/1712972623406387237
Fri Oct 13 23:24:25 +0000 2023;1712972587914178979;"Doakan saudara kita di Palestina, Ust Adi Hidayat (UAH) dgn terisak mengatakan:  Klo kita tdk bisa kesana memberi bantuan setidaknya kita mengirimkan doa, spy kita tdk ditanya diakhirat "Apa yg kamu lakukan buat sdr kita di Palestina"   Duuh gak kuat dengarnya. 😭😭🤲 https://t.co/kmV7wynbSz";2;3;75;205;in;852327811;1712972587914178979;rahmaniarbaftim;https://twitter.com/rahmaniarbaftim/status/1712972587914178979
Fri Oct 13 23:24:22 +0000 2023;1712972575297724885;"@Tita83079013 Ada ada aja ini lagi kirim jin ke palestina kayak nya 😅😅😅";0;0;0;1;in;1313648393621663744;1712669809480192406;DanielW53256126;https://twitter.com/DanielW53256126/status/1712972575297724885
Fri Oct 13 23:23:16 +0000 2023;1712972298226180173;"@aki_jupi2 @DeHoutman_id Inikan yahudi palestina yg pake kacamata. Jd wajarlah dia ngomong begitu";0;0;0;0;in;1679738178973089792;1712122348604977428;erwin_sagala123;https://twitter.com/erwin_sagala123/status/1712972298226180173
Fri Oct 13 23:23:12 +0000 2023;1712972282862444657;"@MelodiAsyik @LuckyBos4 Konteks ceramah disana apa bro?, soal palestina n israel tho?, mufti menk aj pernah bukber bareng sm rabbi yahudi 😂😂😂";0;1;0;0;in;938916131217084416;1712718618650386557;SlevinSojiro;https://twitter.com/SlevinSojiro/status/1712972282862444657
Fri Oct 13 23:23:09 +0000 2023;1712972272804524407;"@saidiman Celakanya politikus2 serakah selalu mengatasnamakan agama dg membela palestina secara membabibuta sehingga masyarakat NKRI yg kurang literasinya terpengaruh. Lebih celaka lagi dibiarkan dan didiamkan oleh pemerintah yg terkesan membenarkan pernyataan politikus2 serakah tsb.";0;2;3;35;in;147385241;1712650219341713518;FerryNLangelo;https://twitter.com/FerryNLangelo/status/1712972272804524407
Fri Oct 13 23:22:46 +0000 2023;1712972173521101224;"@muchlis_ar Jgnlupakan sejarah.. siapa yg jajah daerah yg sdh ditetapkan PBB, knapa PanArab merusak kedamaian berperang mlawan israel shg palestina makin kecil ??  https://t.co/DKAKxDZUse";0;0;0;0;in;750113649365094400;1712698295817240656;kotabahagia;https://twitter.com/kotabahagia/status/1712972173521101224
Fri Oct 13 23:22:40 +0000 2023;1712972147407430058;"@cordova_media @YaniYusra185286 Bukan kegagalan barat,tapi memang kehendak barat yg merestui penjajahan terhadap rakyat palestina.";0;0;0;1;in;1685283160869961730;1712801624346046475;biin_hiday3021;https://twitter.com/biin_hiday3021/status/1712972147407430058
Fri Oct 13 23:22:37 +0000 2023;1712972135713693856;"Prabowo Tegaskan Dukung Palestina Sampai Merdeka https://t.co/aqFTPZMwdO";15;69;39;193;in;47596019;1712972135713693856;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1712972135713693856
Fri Oct 13 23:22:18 +0000 2023;1712972055908692213;"@Hilmi28 HAMAS teroris itu kata Arab Saudi. dan ulah jahat HAMAS telah menghancurkan harapan kemerdekaan Palestina yg diperjuangkan oleh FATAH dan warga sipil... HAMAS adalah teroris pengecut yg setelah menyerang Israel lalu jadikan warga sipil sbg tameng HAMAS ketika diserang balik";0;0;0;1;in;1327381277943554048;1712666694123167765;nadamiring;https://twitter.com/nadamiring/status/1712972055908692213
Fri Oct 13 23:22:01 +0000 2023;1712971987377865117;"Ribuan warga Lebanon berduyun-duyun ke perbatasan Palestina untuk melawan IsraHell❤️ https://t.co/eWxDnDq9eV";1;1;8;26;in;1422120794923040770;1712971987377865117;brother_djon;https://twitter.com/brother_djon/status/1712971987377865117
Fri Oct 13 23:21:58 +0000 2023;1712971974518227017;"di luar kendali.  Berbicara dalam Khotbah Jumat di Masjid Mubarak di Islamabad, Tilford, pada 13 Oktober 2023, Yang Mulia mendesak dunia Muslim untuk mengesampingkan perbedaan mereka untuk menyuarakan suara bagi orang-orang Palestina yang tidak bersalah yang tidak memiliki";0;1;0;0;in;99316586;1712971746557694274;ilbasugih;https://twitter.com/ilbasugih/status/1712971974518227017
Fri Oct 13 23:21:56 +0000 2023;1712971965823320454;"Dinegaranya sana rakyat Palestina protes ke hamas,di Indonesia barisan kadrun mau bikin rusuh belain Hamas ,kan iblis bgt mrk https://t.co/941g4yIgCt";0;2;0;5;in;1629050677795368960;1712971965823320454;SeriDianawati;https://twitter.com/SeriDianawati/status/1712971965823320454
Fri Oct 13 23:21:56 +0000 2023;1712971962593763740;"@mazzini_gsp Apaan sih orang utan di Indonesia  yang mereka lebih pentingkan kan palestina. Palestina dihati, Indonesia ngak penting...";0;1;0;0;in;90397637;1712806414127894686;Ronaldchristy;https://twitter.com/Ronaldchristy/status/1712971962593763740
Fri Oct 13 23:21:12 +0000 2023;1712971781978615954;"@M17522147 @AzzamIzzulhaq mereka ini Iri Dengki, knpa islam itu bisa bersatu klo untuk masalah palestina, karena islam mengajarkan ukhuwah islamiyah, coba di agama u bisa gak ngumpulin solidaritas buat ARMENIA??? ehhh jngn2 mereka itu gak tau ARMENIA, bukan AREMA lho ya🤣🤣";0;2;0;0;in;3024095569;1712931523534741683;gerehpetekk;https://twitter.com/gerehpetekk/status/1712971781978615954
